  0.75  -107   -271  -1032  -1685  -2324  -2560  -2243  -1714  -1228   -936   -629   -351   -143
  1.3     20   -266   -949  -1524  -2167  -2660  -2700  -2233  -1501   -973   -616   -420   -210
  1.8    -99   -184   -725  -1472  -2055  -2288  -2310  -2138  -1739  -1267   -760   -435   -222
  2.4    333   -190   -720  -1531  -2227  -2512  -2612  -2513  -2111  -1553   -936   -562   -330
  3.0    190   -108   -729  -1532  -2220  -2630  -2852  -2721  -2175  -1508   -853   -503   -322
  3.5    262     26   -448  -1137  -2051  -2690  -2883  -2614  -2081  -1589  -1091   -704   -373
  4.6   -134    -90   -300   -875  -1569  -2100  -2501  -2483  -1999  -1407   -905   -674   -511
  5.8    155    127   -129   -710  -1567  -2111  -2246  -2076  -1789  -1508  -1139   -793   -495
  6.8    579    160   -124   -345   -940  -1776  -2356  -2295  -1915  -1630  -1409  -1169   -850
  9.0    387    221    191     43   -606  -1250  -1727  -1902  -1892  -1745  -1455  -1133   -817
 13.4    866    350    251     -1   -370   -881  -1421  -1684  -1704  -1530  -1222   -951   -751
 15.6    655    459    224    161    -73   -582  -1276  -1696  -1837  -1792  -1675  -1487  -1165
 17.8    883    403    504    268    -15   -390  -1001  -1452  -1621  -1541  -1384  -1225   -993
 22.2    591    780    538    449    204   -127   -491   -790  -1081  -1231  -1230  -1122   -961
 32.7    652    551    543    356    226    194    112    -50   -278   -459   -611   -705   -758
 42.7    241    191    280    319    299    231    153     61    -89   -211   -286   -329   -410
 52.7    285      2    100    158    169    171    137     69     -8    -56   -107   -178   -276
 72.2    111    194    188    249    138     49     96    122     82    132    358    542    540
102.2     68     83    230    259     92     17     70    104     70     49     95    151    166
146.2   3687    -86     24    132   -126    -53    166     70   -193   -125    350    702    664

