228.8   3600   2410   1210  -2570  -1800
230.5   7200   3960   1060  -1930   -580
232.3   6660   4680   1860  -2260  -1260
234.0   4070   5880   1270  -2350  -1100
235.8   4470   6290   1410  -1430  -1450
237.6   3440   4700   1530  -1560   -340
239.4   2240   6840   2570  -1610   -890
241.1   4430   4470   2140   -880  -1200
242.9   5510   2540   3340   -480   -330
244.6   6540   4140    150  -1350  -1380
246.5   4690   6850   2170   -800   -860
248.3   2590   2010   2730  -1030  -1790
250.0   5010   4400   2810   -240   -920
251.8   5480   5850   3950   -850   -730
253.5   3280   6860   3550  -1190  -1690
255.3   4190   5250   4780  -1130  -1110
257.1   4090   7930   1380   -800  -1520
258.9   1350   3460   2540  -1060   -800
260.6   9860   6040   4310  -1670  -1220
262.4   2710   4820   2550   -840  -1320
264.1   1810   3590   3820   -730  -1110
266.0   3970   6760   3940    120  -1490
267.8   3730   8630   3660    220   -990
269.5   5090   5790   4160   -570  -1260
271.3   7680   4180   8450    290   -680
273.0   4150  10980   2560   -150   -620
274.9   7910   6400   7460    200   -950
276.6   2870   7700   3260    340   -860
278.4   5680   4830   5510     30   -530
280.1   6580   1940   6940     30   -810
281.9   2120   3850   2770   -880   -630
283.6   2030   3240   4820    710   -610
285.5   3370   3120   5050    490   -380
287.3   5950   1680   2130    570   -210
289.0   4430   5280   4300    460   -380
290.8   6220   6220   6490   1060   -460
292.5   2480   3720   6720    810   -430
294.4   5440   4810   4520   2720   -580
296.1   2890   7810   6980   2490    -30
297.9   4770   4980   2970   1030    220
299.6   4330   2350   4690   3360    460
301.4   2510   4960   4720   6870   -100
303.3   1100   3810   3220   6600   -530
305.0   1730   4220   7530   6160    -10
306.8   2980   5610   3350   1790   -370
308.5   1570   6920   5820   2390    770
310.3   3310   -350   6820   3220   -270
312.0   1850   1590   3970   4780   -420
313.9   3020   4230   6260   7940    130
315.6   1310   4890   5640   5210    410
317.4   1530   4270   4130   6390    -60
319.1   2010    880   6920   4050    500
320.9   2450   2130   3290   4300   -330
322.8   1540   6340   4150   6220   -300
324.5   2800     70   3930   4940   -430
326.3   2790   3380   2210   6390   1350
328.0    740   1340   3030   5800    690
329.8   2820   2750   3050   5020   1220
331.6    760   3750   4680   4620    800
333.4   1080   1340   4970   4570    330
335.1    810   1010   4980   5320   1090
336.9    140   1210    630   4970    370
338.6   1310   2750   2040   4370   2140
340.4   1840   2050    850   3560    590
342.3   1310    780   3270   4790    300
344.0    700    700   1280   4290   1230
345.8    480   1220   2660   4110   -170
347.5    -30   -150   1910   3460   1440
349.3    670  -1340   1750   2670   1190
351.1     60   -240   2890   4500    840
352.9    -50   -400    890   3500   1590
354.6   -320    540   3430   2460   1360
356.4   -780    560   3080   1850    360
358.1   -240    140   2810   2800    560
