  0.65   274    515    666    759    827    845    800    712    599    443    220    -54   -320
  0.75   264    538    683    776    845    867    828    746    632    469    234    -54   -333
  0.88   309    556    725    812    880    918    886    791    664    496    257    -44   -341
  1.02   288    590    757    850    926    957    910    807    682    512    262    -54   -360
  1.16   274    612    778    879    962    992    945    841    705    516    247    -76   -381
  1.29   275    626    800    906    989   1029    989    879    733    547    291    -33   -362
  1.29   316    623    794    893    975   1015    973    862    722    543    290    -34   -362
  1.47   314    664    831    939   1036   1067   1005    886    746    563    295    -48   -388
  1.8    321    683    883    990   1076   1118   1067    938    784    597    331    -22   -387
  1.8    339    696    878    992   1092   1131   1072    945    793    596    306    -65   -433
  2.0    326    716    900   1020   1111   1139   1086    971    820    612    315    -55   -418
  2.4    365    711    929   1052   1146   1190   1140   1009    843    635    346    -28   -409
  2.8    350    740    969   1089   1194   1248   1195   1052    873    657    359    -26   -420
  3.3    333    769   1001   1141   1247   1280   1217   1081    906    673    351    -47   -438
  3.9    342    767   1043   1174   1273   1326   1278   1131    939    708    401      9   -397
  4.6    285    808   1091   1228   1337   1381   1305   1145    958    725    393    -29   -445
  5.4    394    782   1127   1311   1415   1452   1396   1243   1023    751    415     11   -417
  5.5    401    786   1120   1277   1389   1442   1368   1196    991    746    414      3   -406
  6.5    312    779   1158   1328   1448   1507   1425   1236   1024    784    451     24   -404
  6.5    291    825   1191   1380   1478   1504   1435   1272   1047    774    433     17   -433
  7.7    283    802   1204   1431   1544   1574   1505   1333   1091    801    455     39   -414
  9.0    269    825   1244   1483   1601   1634   1558   1369   1108    806    452     30   -433
  9.0    271    790   1222   1465   1579   1611   1545   1368   1115    817    464     39   -429
 11.0    236    793   1227   1513   1655   1677   1594   1414   1159    845    472     42   -418
 13.7    272    770   1253   1580   1746   1773   1674   1476   1215    900    520     75   -400
 17.3    241    787   1272   1636   1839   1876   1773   1561   1276    931    530     76   -403
 23.0    243    783   1270   1671   1925   1989   1887   1658   1347    982    571    116   -369
 29.7    185    775   1266   1691   1976   2064   1972   1742   1426   1045    607    128   -360
 37.6    183    745   1235   1664   1988   2134   2087   1864   1521   1110    653    167   -329
 44.7    152    722   1227   1659   1987   2150   2134   1937   1609   1198    731    226   -290
 49.7    156    703   1216   1659   1980   2148   2158   1983   1654   1224    741    232   -282
 60.0    118    706   1215   1652   1971   2135   2151   1997   1686   1254    749    216   -306
 70.0     63    694   1202   1636   1953   2119   2146   2014   1729   1318    823    290   -241
 80.0     22    652   1193   1616   1928   2101   2133   2013   1752   1358    857    305   -234
 90.0     11    610   1132   1571   1898   2075   2115   2009   1767   1396    917    373   -175
100.0    -14    584   1126   1566   1888   2064   2104   2000   1763   1397    920    378   -168
120.0    -31    571   1116   1542   1850   2019   2062   1970   1750   1399    928    386   -160
140.0    -20    567   1101   1514   1821   1996   2044   1957   1745   1407    951    416   -130
160.0      0    564   1108   1519   1820   2000   2052   1956   1729   1385    933    406   -138

