202.1    620   1280  -1030  -1900  -1600   -430
203.9   2120    860  -1480  -1460  -1880    240
205.7   1010   1020   -970  -1370   -850   -850
207.4    110   1320   -230  -1420   -940      0
209.3   1300   1190     20  -2300  -1340   -320
211.0   1670   2170   -230  -1200  -1640   -430
212.8    620   1260   -420  -1880  -1700  -1360
214.6   1760   1660    -30  -1840  -1280   -710
216.3   1970   1750     40   -660  -1500    -20
218.1    360   1900    180   -530   -860   -490
219.9   1840   1470     90   -880   -640   -660
221.6    960   1600     50   -840   -730  -1200
223.4   1620   1700    550  -1230  -1260   -480
225.2   1470   2120    890   -530  -1970   -600
226.9   2200   2140    290  -1510  -1920  -1740
228.8   2620   1540    790   -880  -1020   -470
230.5   1850   1150   1260   -790  -1960   -380
232.3   1850   1580    440   -820  -1330   -390
234.1   2340   1510   1720   -520   -910  -1900
235.8   2560   2200   1150  -1130  -1950   -880
237.6   2520   2850    450     30  -1150  -1210
239.4   3200   1510   1670    150  -1030    -80
241.1   2390   2620   3590   -680  -1220   -990
242.9   3840   2730   1660   -480   -780   -900
244.7   1240   2180   2330   -190   -990   -400
246.5   1390   2210   2230   -260   -860   -830
248.3   4870   3780   2660   -270  -1120   -610
250.0   1810   2570   2350    100   -690   -190
251.8   2530   4570   2780   -200   -630   -770
253.6   2800   2700   2490   -150   -780   -550
255.3   2050   4140   1620    -80   -810   -520
257.1   3930   4520   3140    -30   -940   -700
258.9   4180   2730   1630   -310   -770   -250
260.7   2850   3680   2340    -70  -1250   -370
262.4   1770   2910   3050      0   -930   -430
264.2   1620   2970   2590    -70   -390   -840
266.0   2560   1240   3120    440   -770   -460
267.8   2830   4250   3310    120   -980   -690
269.5   3010   4270   1150    190   -800    -20
271.3   3360   4080   2690    440   -460   -580
273.1   2370   6250   2140    780   -520   -810
274.9   3900   2400   2770    420   -800   -590
276.6   2740   5390   2410    760   -880   -850
278.4   2540   3420   3120    660   -750   -430
280.2   1490   3260   4960    570  -1060   -460
281.9   1190   4130   3210   1150   -660   -730
283.7   2330   1010   2000   1800   -720   -390
285.5   3850   3010   6040    900   -910   -450
287.3   3280   2820   3820    840   -560   -390
289.1   4580   2610   5470    470   -500   -390
290.8   2730    580   4240   1530   -530   -600
292.6    570   3480   4370   1200   -510   -410
294.4   1370   2850   4690   2020   -620   -450
296.1   3040   2740   4410   1520   -440   -380
297.9   3300   1620   5300    970   -590   -170
299.7   2070   4930   3180   1840   -600    -70
301.4   1740   4390   6130   1810   -330    450
303.3   1730   3940   5030   1950   -380   -300
305.0   1630   2860   2690   1560     30    -90
306.8   2520   2020   3220   1010    260   -650
308.6   3500   1370   1690   2880   1640   -500
310.3   2760   4330   4620   3820   -590  -1190
312.1    260   4290   5130   2140   -190   -790
313.9   3690   1730   3850   1710    990     60
315.6   2940   3390   6380   1850    660   -530
317.4   1900   2520   3500   3810    260    900
319.2   1500   1260   3720   3050    990    430
320.9   1790   1390   3800   4560    300      0
322.8   1200   3100   3330   2690    290   -400
324.5   1010   2110   5450   3500   1180   -600
