  0.0    102    111    140    126     89
  1.8     84    115    121    111     91
  3.5     90    100    132    124     92
  5.3     81    119    125    126     92
  7.0     90    113    128    122     87
  8.8     95    100    117    122     80
 10.6     90     95    117    112     83
 12.4     69    110    123    110     87
 14.1     77    105    116    117     71
 15.9     86     98    117    119     77
 17.6     80     93     96    122     76
 19.5     90     89    116    119     78
 21.3     96     88    104    133     72
 23.0     89     86    107    113     72
 24.8     97     99    118    119     95
 26.5    108     96    109    115     88
 28.3    119    104     96    111    104
 30.1    107     97     99    109     99
 31.9    113    118     97     93     93
 33.6    125    111    103    111    103
 35.4    131    106     99    111    102
 37.1    131    116     83    103     86
 39.0    132    128     99    104     86
 40.8    149    147     98    106     91
 42.5    156    138     96    101     75
 44.3    148    142     92     99     91
 46.0    167    157     97    107     86
 47.9    184    157     90    108     78
 49.6    162    152    102    108     76
 51.4    158    163     86    103     78
 53.1    173    185    112     88     80
 54.9    191    167    108     97     79
 56.6    172    187    109     83     68
 58.5    185    184    128     85     76
 60.3    170    179    125     80     78
 62.0    192    183    131     85     72
 63.8    182    200    143     74     74
 65.5    215    189    142     75     66
 67.4    196    193    159     71     53
 69.1    191    187    158     69     71
 70.9    221    225    151     62     67
 72.6    208    211    175     68     54
 74.4    212    217    161     65     53
 76.3    210    213    167     70     68
 78.0    195    207    153     62     62
 79.8    241    228    172     60     69
 81.5    229    210    167     69     63
 83.3    212    176    194     63     56
 85.0    222    199    177     59     54
 86.9    239    218    192     59     59
 88.6    211    205    193     66     55
 90.4    192    220    198     60     65
 92.1    222    218    189     61     65
 93.9    179    215    193     69     62
 95.8    192    222    191     79     59
 97.5    221    186    169     67     58
 99.3    204    218    178     68     58
101.0    209    210    186     83     49
102.8    200    231    168     73     56
104.6    188    197    197     70     57
106.4    202    229    188     78     50
108.1    215    227    165     98     46
109.9    195    215    196     77     59
111.6    191    179    172     87     55
113.4    161    203    163     90     68
115.3    177    215    170     80     67
117.0    164    191    173    120     66
118.8    177    189    163    107     80
120.5    164    179    169    130     77
122.3    153    179    162    145     71
124.1    161    183    215    144     73
125.9    163    194    204    166     83
127.6    157    222    197    174     78
129.4    159    183    171    170     81
131.1    152    191    193    163     84
133.0    154    175    194    170     95
134.8    149    193    184    179     93
136.5    185    186    194    203     91
138.3    172    202    207    188    101
140.0    162    189    190    161     97
141.8    120    196    176    183     86
143.6    152    169    202    181     97
145.4    152    171    177    168     87
147.1    136    187    178    175     78
148.9    135    166    183    168     74
150.6    134    169    195    183     88
152.5    130    169    186    171     89
154.3    120    161    167    175     82
156.0    103    161    151    178     97
157.8    132    174    162    155     90
159.5    117    170    161    146     97
161.4    120    154    146    147     89
163.1     94    152    130    136     89
164.9    126    147    141    145    103
166.6    118    141    136    142    114
168.4    125    138    127    131     99
170.1    120    140    136    135    100
172.0    122    131    126    141     98
173.8    104    127    129    135    102
175.5    115    133    105    136    102
177.3     92    116    111    119     93
179.0     94    122    105    134     85
180.9    102    110    110    131     89
182.6    101    107    126    132     90
184.4     95    124    129    120     87
186.1     93    114    121    141     82
187.9     83    108    108    138     83
189.8     95    102    119    135     88
191.5     78     95    121    127     91
193.3     69     89    125    127     93
195.0     89    103    109    129     87
196.8     90    103    121    119     92
198.5    106     91    125    107     85
200.4     88     83    104    121     85
202.1     93    106    100    121     87
203.9    103     93    110    113    102
205.6    100     90    109    103     91
207.4    103     82     94    109     88
209.3    113     79     98    101     78
211.0    112    108     90     99     87
212.8    113     99     84     93     87
214.5    140    116     92     91     87
216.3    116    109     89    101     86
218.1    129    138     85    104     74
219.9    139    121     78    103     72
221.6    151    131     78     85     67
223.4    137    131     80     83     79
225.1    136    111     80     99     72
226.9    145    136     99     94     70
228.8    140    138     99     88     70
230.5    164    155     97     76     70
232.3    160    141     88     89     67
234.0    159    149    100     76     59
235.8    152    129    115     73     60
237.6    147    157    105     71     64
239.4    156    154    123     72     53
241.1    159    173    124     67     64
242.9    148    161    124     70     48
244.6    162    180     92     65     69
246.5    182    181    125     73     58
248.3    182    172    119     65     71
250.0    180    185    136     62     54
251.8    178    180    120     62     60
253.5    164    180    131     66     62
255.3    175    184    144     61     63
257.1    178    180    135     62     65
258.9    172    170    128     62     52
260.6    205    183    147     64     60
262.4    174    176    155     61     63
264.1    197    181    156     56     59
266.0    215    208    162     55     58
267.8    170    213    168     61     55
269.5    181    198    154     54     66
271.3    205    209    182     56     60
273.0    206    193    163     60     51
274.9    213    199    179     61     53
276.6    180    201    167     55     51
278.4    193    217    155     61     55
280.1    175    165    149     65     56
281.9    163    183    138     61     50
283.6    194    179    151     58     51
285.5    182    166    163     59     52
287.3    198    177    157     71     42
289.0    199    190    142     66     50
290.8    202    180    172     67     56
292.5    155    194    169     89     67
294.4    167    177    169    105     71
296.1    149    188    168    109     64
297.9    191    193    166     90     67
299.6    179    166    169    108     78
301.4    176    198    175    150     81
303.3    178    185    165    160     83
305.0    171    205    193    159     82
306.8    163    208    177    148     67
308.5    159    199    203    158     79
310.3    170    184    189    150     74
312.0    154    191    180    167     72
313.9    177    186    202    185     82
315.6    163    164    210    166     74
317.4    158    210    206    163     71
319.1    167    182    198    157     67
320.9    142    178    183    170     66
322.8    159    178    192    183     78
324.5    159    161    202    164     75
326.3    142    162    189    175     82
328.0    133    163    152    174     69
329.8    163    156    163    167     88
331.6    144    139    177    150     83
333.4    140    155    163    182     71
335.1    137    131    158    159     83
336.9    136    151    153    141     83
338.6    120    152    170    147     90
340.4    126    142    161    139     93
342.3    109    121    155    138     89
344.0    104    121    151    141     98
345.8    115    115    145    143     88
347.5    118    122    146    136     85
349.3    115    114    121    130     91
351.1    106    139    136    134     95
352.9    107    127    133    129     89
354.6     97    111    141    132     90
356.4     98    115    129    131     83
358.1     92    123    134    134     87

