  0.0     31     46     73     68     63
  1.8     32     50     67     69     67
  3.5     39     43     59     67     64
  5.3     36     37     55     85     67
  7.0     33     44     70     65     59
  8.8     32     47     57     71     64
 10.6     37     43     60     72     60
 12.4     30     40     61     82     57
 14.1     46     42     56     71     57
 15.9     36     44     53     71     56
 17.6     46     40     64     59     62
 19.5     49     36     56     69     59
 21.3     48     43     52     59     63
 23.0     48     46     55     69     59
 24.8     57     43     48     78     65
 26.5     59     46     59     77     65
 28.3     62     49     54     67     48
 30.1     64     48     45     64     69
 31.9     67     55     45     69     63
 33.6     59     60     44     60     67
 35.4     73     59     41     68     59
 37.1     68     62     45     79     72
 39.0     69     52     49     66     61
 40.8     86     63     44     67     62
 42.5     81     69     43     62     56
 44.3     81     81     55     55     61
 46.0     86     76     43     60     59
 47.9     86     71     47     61     58
 49.6     87     80     62     64     60
 51.4     78     80     48     63     59
 53.1     91     83     67     62     54
 54.9     92     81     60     61     58
 56.6     82    103     56     56     54
 58.5     90     93     61     65     50
 60.3     95     95     69     53     55
 62.0     84    102     66     47     50
 63.8     75     90     70     50     48
 65.5     95     86     70     52     47
 67.4     89     92     79     52     44
 69.1     92     90     70     50     46
 70.9    118     97     83     47     45
 72.6     82    107     79     43     41
 74.4    113    112     91     46     41
 76.3    115    113     82     47     42
 78.0     91    109     85     48     49
 79.8     91    104    111     46     48
 81.5     80    104     82     49     48
 83.3     97    106    104     42     46
 85.0    103    105     82     47     47
 86.9    109    109     98     52     44
 88.6     85    114    105     56     46
 90.4     98     96    111     45     54
 92.1     99    107    105     46     45
 93.9     94    105    114     52     43
 95.8     81    116     96     66     40
 97.5    125    102    105     50     44
 99.3     87    111    114     61     42
101.0     75     99     97     48     41
102.8     96    112    115     60     42
104.6     85     95    112     49     36
106.4     89    110    119     59     39
108.1     90     98     96     51     40
109.9     84    108    114     68     46
111.6     85     85    126     66     40
113.4     76    105    119     76     54
115.3     73     94    101     64     42
117.0     82     84    116     71     51
118.8     77     95    100     70     53
120.5     74     91    119     69     68
122.3     66     83    121     84     66
124.1     76     88    108     80     66
125.9     80     74    111    111     67
127.6     86     86    112     83     64
129.4     78     88    107     89     69
131.1     62     92    125     91     69
133.0     79     73    133     98     74
134.8     68     79    113     98     68
136.5     62     85    127     87     66
138.3     70    106    111     91     63
140.0     59     79    104     92     65
141.8     63     86    100    103     67
143.6     69     71     89     99     70
145.4     56     85    103    108     67
147.1     60     75     91     88     65
148.9     61     76    101     85     65
150.6     48     70     84     79     66
152.5     48     75     78     85     54
154.3     45     71     88     84     65
156.0     56     54     89     88     69
157.8     45     59     89     89     76
159.5     47     71     92     89     72
161.4     41     74     93     82     82
163.1     36     73     85     82     72
164.9     37     52     86     79     77
166.6     41     58     86     87     60
168.4     37     57     70     84     67
170.1     34     61     81     86     69
172.0     40     51     66     71     67
173.8     30     48     65     74     62
175.5     31     43     63     68     71
177.3     34     48     71     78     75
179.0     39     47     75     77     65
180.9     31     48     67     74     63
182.6     37     50     70     72     77
184.4     35     41     58     76     72
186.1     32     43     65     80     60
187.9     32     45     73     85     69
189.8     33     45     76     71     63
191.5     40     41     67     63     59
193.3     39     44     61     70     78
195.0     47     39     54     74     69
196.8     44     45     59     81     63
198.5     42     37     66     74     64
200.4     60     43     57     70     66
202.1     50     45     49     72     65
203.9     63     46     48     66     75
205.6     53     47     51     70     68
207.4     51     43     46     68     68
209.3     48     52     54     75     71
211.0     59     52     39     66     61
212.8     59     53     45     63     54
214.5     59     49     49     62     68
216.3     65     53     42     65     59
218.1     62     66     43     62     57
219.9     64     57     48     62     57
221.6     70     61     52     60     59
223.4     68     63     42     60     63
225.1     68     63     47     48     54
226.9     73     70     48     53     59
228.8     69     69     48     57     54
230.5     81     74     47     52     56
232.3     82     67     59     57     52
234.0     79     80     48     59     46
235.8     77     82     43     56     50
237.6     72     80     58     47     43
239.4     84     95     56     49     47
241.1     80     74     55     55     39
242.9     80     72     55     44     37
244.6     88     84     59     44     44
246.5     64     84     60     49     38
248.3     77     80     60     47     50
250.0     88     77     71     41     43
251.8     85     87     60     44     45
253.5     77     85     65     52     51
255.3     89     96     71     39     45
257.1     83     87     52     44     49
258.9     70     88     75     40     46
260.6     93     90     74     49     40
262.4     74     78     91     41     47
264.1     83     83     62     42     48
266.0     78     84     84     44     49
267.8     71     90     78     44     42
269.5     83     93     76     39     47
271.3     85     99     87     48     48
273.0     70     98     89     46     44
274.9     87    101     89     44     47
276.6     72     84     73     44     40
278.4     87     88     98     47     46
280.1     80     80     97     49     39
281.9     80     89     86     41     41
283.6     78     95     95     45     35
285.5     75     91     81     46     43
287.3     80     95     86     44     40
289.0     68     88     84     48     40
290.8     76     87     99     46     45
292.5     78     80     92     56     51
294.4     84     81     90     62     61
296.1     74     92    103     70     59
297.9     75     83     71     71     70
299.6     72     74     85     78     66
301.4     70     82     85     92     70
303.3     57     83     95     77     63
305.0     69     97     90     85     66
306.8     69     91     94     80     64
308.5     74     86     99     86     83
310.3     65     71    109     95     71
312.0     63     77     95     81     64
313.9     70     79     93     90     73
315.6     64     79     90     85     59
317.4     65     77     78     84     67
319.1     63     74     82     86     70
320.9     60     73     77     89     66
322.8     61     80     91     75     65
324.5     67     79     82     85     66
326.3     71     78     87     86     66
328.0     56     66     85     84     54
329.8     63     64     78     94     59
331.6     48     77     75     85     65
333.4     48     72     76     78     71
335.1     49     76     85     94     62
336.9     52     68     66     95     56
338.6     45     67     74     89     69
340.4     53     51     75     92     67
342.3     51     55     81     83     65
344.0     41     53     73     76     65
345.8     39     62     69     73     50
347.5     37     50     64     82     56
349.3     43     55     69     68     63
351.1     43     51     71     72     57
352.9     40     49     69     70     65
354.6     31     51     68     77     62
356.4     33     53     61     77     58
358.1     31     53     54     66     63
