230.5 -1077 -1442 -1579 -1646 -1588 -1562
232.3 -1081 -1463 -1608 -1674 -1602 -1587
234.1 -1136 -1446 -1644 -1710 -1644 -1603
235.8 -1112 -1479 -1652 -1753 -1683 -1628
237.6 -1289 -1487 -1662 -1778 -1712 -1649
239.4 -1155 -1525 -1700 -1806 -1883 -1670
241.1 -1182 -1500 -1721 -1828 -1769 -1831
242.9 -1166 -1509 -1718 -1852 -1777 -1724
244.7 -1185 -1512 -1731 -1870 -1797 -1736
246.5 -1212 -1554 -1743 -1895 -1813 -1766
248.3 -1204 -1540 -1751 -1901 -1831 -1782
250.0 -1207 -1542 -1755 -1929 -1871 -1793
251.8 -1206 -1570 -1749 -1947 -1891 -1814
253.6 -1224 -1507 -1774 -1955 -1899 -1833
255.3 -1218 -1551 -1782 -1964 -1903 -1837
257.1 -1234 -1588 -1814 -1982 -1924 -1858
258.9 -1253 -1536 -1813 -1979 -1941 -1862
260.7 -1233 -1552 -1811 -1989 -1946 -1879
262.4 -1227 -1557 -1801 -1998 -1959 -1891
264.2 -1242 -1533 -1780 -2005 -1955 -1897
266.0 -1259 -1552 -1757 -2011 -1963 -1899
267.8 -1231 -1538 -1748 -1997 -1965 -1900
269.5 -1218 -1557 -1757 -2007 -1964 -1910
271.3 -1200 -1565 -1723 -1999 -1963 -1904
273.1 -1220 -1535 -1740 -1970 -1964 -1910
274.9 -1210 -1505 -1732 -1982 -1966 -1905
276.6 -1181 -1500 -1700 -1954 -1958 -1896
278.4 -1182 -1493 -1682 -1959 -1948 -1892
280.2 -1162 -1485 -1669 -1935 -1942 -1884
281.9 -1165 -1443 -1659 -1915 -1932 -1869
283.7 -1133 -1425 -1637 -1885 -1922 -1863
285.5 -1143 -1429 -1645 -1878 -1901 -1851
287.3 -1096 -1434 -1601 -1846 -1881 -1834
289.1 -1079 -1375 -1584 -1827 -1863 -1813
290.8 -1091 -1370 -1560 -1810 -1839 -1794
292.6 -1085 -1345 -1509 -1781 -1823 -1783
294.4 -1040 -1325 -1497 -1742 -1797 -1764
296.1 -1044 -1310 -1490 -1709 -1778 -1740
297.9 -1029 -1271 -1422 -1678 -1750 -1729
299.7 -1002 -1283 -1407 -1639 -1731 -1693
301.4  -960 -1280 -1382 -1614 -1702 -1679
303.3  -926 -1232 -1353 -1589 -1674 -1663
305.0  -900 -1240 -1310 -1544 -1666 -1636
306.8  -859 -1215 -1316 -1503 -1624 -1617
308.6  -857 -1143 -1243 -1464 -1591 -1575
310.3  -872 -1162 -1209 -1468 -1552 -1556
312.1  -840 -1129 -1215 -1406 -1539 -1503
313.9  -827 -1067 -1190 -1389 -1486 -1479
315.6  -822 -1041 -1158 -1346 -1447 -1440
317.4  -754 -1000 -1099 -1298 -1412 -1386
319.2  -731  -954 -1081 -1258 -1376 -1338
320.9  -688  -913 -1037 -1209 -1319 -1295
322.8  -669  -880 -1004 -1152 -1269 -1256
324.5  -643  -843  -960 -1105 -1213 -1202
326.3  -593  -789  -929 -1045 -1156 -1156
328.1  -568  -760  -888  -988 -1087 -1100
329.8  -554  -710  -818  -943 -1035 -1044
331.6  -502  -684  -781  -909  -984  -999
333.4  -468  -622  -730  -835  -924  -942
335.1  -422  -586  -659  -767  -861  -879
336.9  -387  -538  -627  -689  -808  -812
338.7  -339  -513  -595  -643  -739  -752
340.4  -305  -448  -528  -572  -677  -687
342.3  -273  -406  -450  -524  -606  -635
344.0  -215  -353  -381  -460  -552  -570
345.8  -160  -298  -331  -402  -476  -497
347.6  -134  -237  -268  -341  -414  -440
349.3   -73  -198  -218  -269  -336  -381
351.1   -34  -153  -151  -204  -277  -312
352.9    24   -83   -78  -132  -215  -257
354.6    76   -48   -20   -80  -152  -195
356.4   120     5    51    -2   -78  -124
358.2   172    53   104    53   -14   -72
