  0.55    39     37     42     47     48     47     48     49     46     42     38     38     41
  0.77    32     32     37     45     49     49     48     48     45     41     36     32     30
  1.1     22     26     38     47     47     47     49     48     44     40     36     32     29
  1.65    29     28     34     42     45     46     46     46     45     43     39     34     30
  1.8     43     30     34     38     43     47     49     48     43     40     38     37     36
  2.5     33     31     31     37     43     46     47     47     45     42     38     34     30
  3.6     32     32     30     34     40     45     47     47     45     43     42     39     35
  5.2     34     33     31     33     38     43     48     49     48     45     42     39     35
  6.6     33     31     28     29     36     42     46     48     46     43     40     38     34
  8.8     34     33     31     30     32     37     44     46     45     43     40     38     36
 11.0     48     38     25     30     32     28     37     47     45     36     37     45     45
 14.3     31     29     30     29     25     27     32     36     39     40     39     36     33
 18.0     38     32     32     30     28     28     29     32     36     39     39     38     36
 22.0     34     32     32     29     26     25     26     29     32     35     36     35     34
 27.5     35     33     31     30     29     27     25     25     26     28     30     31     32
 32.5     31     29     29     30     30     28     26     25     25     26     27     30     31
 37.5     37     34     21     31     32     22     23     30     25     16     19     31     35
 42.5     39     33     22     32     31     20     24     32     25     15     18     30     33
 52.5     21     25     24     25     26     25     25     25     25     25     23     23     23
 62.5     19     19     20     21     21     21     22     23     23     22     20     19     19
 72.0     20     18     19     21     20     20     20     20     20     20     20     19     19
 82.0     24     23     12     20     22     15     17     24     22     14     14     23     28
146.0     28     21     10     20     21     12     15     23     20     11     11     21     24

