104.9     2     7     1    42   281   356   647   975  1304
105.8     1     7     2    44   235   276   510   772  1406
106.6     2     7     1    45   173   313   522   927  1400
107.5     2     7     2    46   208   339   648   895  1516
108.4     2     7     1    47   231   270   527  1127  1301
109.3     1     7     1    46   195   321   454   732  1207
110.1     1     7     1    43   189   307   519   780  1095
111.0     1     7     1    42   184   370   486   921  1267
112.0     1     8     1    43   206   330   440   984  1295
112.9     1     8     1    45   218   281   500   689  1185
113.8     2     7     1    45   175   296   495   877  1173
114.6     2     7     1    54   151   280   503   984  1115
115.5     1     7     1    73   157   294   459   939  1172
116.4     1     8     1    70   178   320   484   884  1017
117.3     1     8     1    68   142   306   431   927  1063
118.1     1     8     1    65   177   338   523   906  1228
119.0     1     8     1    61   179   249   384   942  1023
120.0     2     8     1    57   148   238   388   835   959
120.9     1     8     1    67   179   263   431   808  1012
121.8     1     8     1    68   141   258   396   910  1252
122.6     1     7     1    67   173   254   436   689  1098
123.5     1     8     1    59   186   240   501   789  1035
124.4     1     8     1    51   191   270   438   657   920
125.3     1     8     1    48   158   220   431   651  1019
126.1     1     8     1    47   150   223   413   823  1058
127.0     1     7     1    84   138   206   325   737  1033
128.0     1     7     1    71   124   232   367   630   968
128.9     0     7     1    63   133   185   343   658   892
129.8     1     7     1    64   147   192   352   581  1032
130.6     1     6     1    76   121   241   294   736   917
131.5     1     6     1    60   143   192   368   824   800
132.4     1     6     1    59   120   205   320   680  1011
133.3     1     5     1    57   129   187   354   623   986
134.1     1     5     1    52   132   186   385   555   880
135.0     0     5     1    53   129   232   308   503   869
136.0     0     4     0    55   119   189   292   525  1216
136.9     0     4     1    53   111   158   315   506   841
137.8     1     3     1    50   114   183   310   593   880
138.6     0     3     0    51   100   157   352   591   680
139.5     0     2     0    55   105   186   331   519   690
140.4     0     2     0    53    86   206   261   519   712
141.3     0     2     0    60    94   158   237   576   691
142.1     0     3     0    64    96   134   227   493   864
143.0     0     3     1    68    96   131   281   491   737
144.0     1     4     0    60    90   152   273   536   710
144.9     1     5     0    49    83   140   182   422   639
145.8     1     6     1    46    84   121   160   434   817
146.6     1     7     1    52    73   117   173   392   673
147.5     1     7     1    58    72   107   152   393   540
148.4     1     8     1    52    72    92   161   452   569
149.3     1     9     1    45    70    85   153   323   476
150.1     1     9     1    40    60    85   164   389   559
151.0     2    10     1    34    54    80   124   361   510
152.0     2    10     1    35    51    71   132   318   570
152.9     2    10     1    35    44    72   148   351   456
153.8     2    10     1    39    42    70   118   303   421
154.6     2    10     1    36    35    63   115   263   501
155.5     2    10     1    31    30    64   109   293   350
156.4     2    10     1    30    29    62   120   246   326
157.3     2    11     1    31    30    45    88   226   308
158.1     3    11     1    31    24    34    61   291   288
159.0     3    12     1    32    21    30    54   261   286
160.0     2    11     1    33    19    34    68   175   200
160.9     2    10     1    34    21    32    63   165   291
161.8     3     9     1    36    23    26    55   135   209
162.6     2     9     1    37    23    27    74   141   176
163.5     3    10     2    40    24    34    60   147   217
164.4     3    10     1    43    26    39    65   120   156
165.3     3    10     2    46    28    43    77   118   176
166.1     2    10     2    49    32    45    72   156   187
167.0     3     9     2    52    36    52    78   160   227
168.0     4     9     3    54    41    56    77   178   225
168.9     3     8     3    55    44    60    84   189   231
169.8     3     8     3    54    45    58    79   157   241
170.6     3     8     2    51    43    60   100   154   260
171.5     4     9     3    48    40    62    97   156   302
172.4     3    10     3    48    37    52    91   160   299
173.3     2    10     3    49    36    47    95   187   259
174.1     3     8     3    48    36    42    94   163   239
175.0     2     7     3    46    36    49    90   167   239
176.0     2     7     3    42    32    51    90   164   267
176.9     3     8     3    39    34    49   102   168   270
177.8     3     8     2    38    34    43   109   156   269
178.6     2     8     2    38    29    47    84   186   243
179.5     2     9     2    39    31    46    78   186   293
180.4     3     8     2    38    34    45    89   172   274
181.3     3     7     3    40    34    45    77   178   222
182.1     3     7     3    40    31    44    79   175   256
183.0     3     6     3    36    25    52    72   181   299
184.0     3     7     3    35    24    60    82   214   329
184.9     3     7     4    35    27    63    85   192   367
185.8     2     9     4    31    32    53    83   152   306
186.6     3     8     3    30    36    52   106   169   308
187.5     4     6     4    31    36    54    90   258   415
188.4     3     6     4    32    34    64   114   239   522
189.3     3     6     2    33    30    78   115   247   619
190.1     3     7     4    31    26    72   101   259   509
191.0     3     7     4    30    24    79   133   266   433
192.0     2     8     3    28    24    66   132   249   418
192.9     3     6     2    28    30    57   101   254   530
193.8     4     5     3    26    34    55   112   257   539
194.6     2     5     2    25    33    53   129   350   643
195.5     2     5     3    23    32    58   135   407   697
196.4     3     5     2    22    30    68   141   375   661
197.3     3     5     2    20    30    61   146   334   531
198.1     2     5     4    19    30    57   133   346   669
199.0     2     5     2    19    32    64   184   416   698
200.0     3     4     2    22    34    72   165   499   795
200.9     2     4     2    25    34    80   184   579   723
201.8     1     4     2    27    37   106   176   493   711
202.6     1     5     1    30    45    87   206   497   667
203.5     2     7     2    29    37    76   206   548   749
204.4     1     7     2    27    34    87   194   497   799
205.3     1     6     2    25    37    96   183   558   719
206.1     2     6     2    26    37    94   168   668   798
207.0     2     5     2    28    42    93   239   612   796
208.0     2     5     3    30    46    95   279   594   749
208.9     2     6     3    31    48    82   271   617   792
209.8     2     6     3    30    49    78   210   731   771
210.6     2     6     3    29    48    80   260   873   904
211.5     2     6     3    28    45    88   249   663   915
212.4     2     5     1    28    40    96   280   748   993
213.3     2     4     2    30    45    94   327   693   961
214.1     1     4     2    31    52   103   394   592   970
215.0     2     4     2    32    53   113   388   712  1176
216.0     4     4     2    32    52   125   511   757   931
216.9     4     3     2    31    45   124   489   797   824
217.8     3     4     3    31    43   137   427   679   851
218.6     4     3     2    31    49   148   429   722  1038
219.5     3     1     2    29    57   155   436   771  1007
220.4     2     2     2    27    65   169   509   840  1074
221.3     2     3     3    26    68   195   464   735  1006
222.1     2     3     3    26    64   198   513   709   886
223.0     2     3     2    26    58   198   535   739  1019
224.0     2     3     2    28    53   201   579   953  1074
224.9     3     2     2    33    53   171   560   738  1152
225.8     3     1     1    35    62   149   597   880  1118
226.6     2     2     2    37    71   139   523   859  1021
227.5     2     3     2    38    67   170   552   830  1106
228.4     2     3     1    40    65   240   505   914  1023
229.3     3     4     2    42    65   236   506   714  1013
230.1     3     4     2    41    63   186   436   870  1148
231.0     2     3     2    39    64   261   487   845  1153
232.0     2     3     2    39    70   204   568   692  1083
232.9     3     3     2    39    78   218   487   940  1290
233.8     3     3     2    39    80   241   593   962  1143
234.6     3     3     2    40    81   214   536   863  1351
235.5     4     2     2    40    78   240   575   925   937
236.4     3     2     2    39    73   362   577  1018  1196
237.3     2     3     2    36    69   291   616   899  1169
238.1     3     3     2    35    66   279   586   832  1257
