  0.55  -417   -179   -216   -472   -594   -599   -674   -717   -599   -433   -407   -566   -715
  0.77  -285   -435   -546  -1005  -1238  -1165  -1076  -1048   -965   -814   -621   -472   -336
  1.1   -636   -780    458    279  -1185  -1685  -1481  -1327  -1276  -1094   -713   -415   -256
  1.65   100   -100   -562   -956  -1165  -1411  -1543  -1437  -1226  -1054   -830   -568   -310
  1.8   -622   -321   -626   -822  -1050  -1302  -1438  -1333  -1070   -867   -766   -744   -685
  2.5   -158   -247   -440   -801  -1222  -1490  -1604  -1520  -1275  -1022   -783   -612   -435
  3.6    -94   -337   -321   -569  -1018  -1360  -1555  -1545  -1376  -1150   -879   -660   -472
  5.2   -156    -81   -231   -459   -844  -1213  -1549  -1679  -1586  -1343  -1008   -739   -528
  6.6    367    155     51   -157   -611  -1127  -1546  -1591  -1334  -1036   -804   -684   -550
  8.8    407    181    234    -62   -334   -613  -1028  -1259  -1194   -986   -824   -770   -682
 11.0    368    292     71    -36   -185   -461   -832  -1058  -1125  -1067   -949   -820   -665
 14.3    326    406    172    113      2   -221   -512   -732   -907   -978   -936   -801   -624
 18.0    837    358    258    127     -9   -113   -277   -514   -823  -1006  -1018   -896   -742
 22.0    282    413    194     95     82     20   -145   -343   -548   -663   -714   -730   -735
 27.5    288    441    333    300    195     65    -33   -108   -226   -336   -426   -489   -557
 32.5    128    189    213    198    159    126     76     24    -47   -151   -319   -464   -540
 37.5   -324    115     81     34     36     74     61     -2    -62    -92   -146   -239   -342
 42.5   -106     42     17     74    142    115     59     11    -55   -103   -122   -140   -206
 52.5   -186   -153    -46    -78    -81    -15     12    -19    -47    -53    -81   -139   -197
 62.5   -126   -209   -143   -117    -88    -35    -17    -46    -70    -59    -36    -37    -58
 72.0   -245   -155   -148   -188   -175   -141   -114   -106   -112   -127   -143   -144   -130
 82.0    -92   -182   -150   -156   -138   -123   -130   -134   -122   -118   -141   -170   -173
146.0    -83   -117    -98    -61    -86   -124   -115    -88    -90   -115   -126   -111    -94

