  0.75    41     51     76     83     91     97     97     94     89     79     62     47     43
  1.3     34     45     64     72     86    100    102     95     85     76     62     49     42
  1.8     44     45     60     74     88     96    100     99     93     83     67     54     46
  2.4     47     43     56     73     87     96    101     99     92     84     71     58     48
  3.0     46     45     54     72     89     98    102    100     91     80     65     54     46
  3.5     39     43     51     67     83     94    101    100     91     81     69     58     49
  4.6     54     46     44     60     80     90     97     99     94     83     69     57     49
  5.8     57     50     45     53     74     89     96     96     90     81     70     60     52
  6.8     68     48     40     46     59     76     94     96     83     76     78     74     54
  9.0     51     53     44     41     54     70     83     88     88     83     74     64     56
 13.4     60     53     47     41     46     60     78     87     86     78     67     60     55
 15.6     60     51     44     45     39     47     71     83     78     73     78     78     61
 17.8     62     54     49     47     38     41     62     77     77     75     76     72     57
 22.2     52     55     53     51     40     41     56     67     69     69     70     65     52
 32.7     55     49     50     46     41     37     33     31     36     44     52     54     52
 42.7     45     46     38     46     41     33     37     38     29     26     38     49     43
 52.7     41     35     29     42     38     29     33     37     29     22     29     38     34
 72.2     33     33     32     31     30     30     31     32     31     30     32     34     35
102.2     25     25     26     27     25     23     23     24     26     27     26     26     25
146.2     48     19     20     20     17     18     20     19     17     18     23     27     27

