  0.0     30     41     54     63     69     60
  1.8     32     38     57     57     65     65
  3.5     31     40     63     59     62     55
  5.3     28     42     52     66     55     54
  7.1     28     36     52     62     66     61
  8.8     27     37     50     61     68     55
 10.6     29     39     44     56     48     56
 12.4     35     38     50     63     69     63
 14.1     37     40     53     67     61     68
 15.9     36     42     52     57     68     54
 17.7     32     44     49     53     66     64
 19.5     36     44     48     64     66     69
 21.3     43     41     43     62     61     53
 23.0     38     44     45     72     60     56
 24.8     45     44     40     50     57     52
 26.6     44     55     38     56     66     54
 28.3     48     44     46     61     61     44
 30.1     49     42     36     52     57     54
 31.9     49     56     44     57     54     60
 33.7     55     53     35     52     59     58
 35.4     45     49     31     47     56     59
 37.2     43     49     42     54     55     55
 39.0     59     57     39     60     58     50
 40.8     52     53     40     51     56     55
 42.5     48     55     35     50     49     50
 44.3     54     56     40     53     46     56
 46.1     56     50     46     44     55     54
 47.9     62     63     47     48     52     42
 49.6     51     63     41     40     43     48
 51.4     57     70     41     41     48     49
 53.2     58     58     44     39     45     42
 54.9     67     58     44     41     53     38
 56.7     57     70     41     49     43     32
 58.5     73     69     53     39     40     40
 60.3     65     72     55     39     40     38
 62.1     59     60     49     39     44     36
 63.8     58     58     54     42     44     34
 65.6     66     74     58     41     41     38
 67.4     62     69     64     36     45     34
 69.1     75     68     66     35     38     35
 70.9     70     71     58     34     44     31
 72.7     54     76     63     36     47     31
 74.4     55     75     57     41     44     29
 76.3     65     80     70     38     44     32
 78.0     51     64     64     43     49     36
 79.8     63     74     59     37     39     31
 81.6     73     60     62     42     42     35
 83.3     57     77     77     34     37     30
 85.1     65     74     68     37     32     35
 86.9     58     67     81     36     39     34
 88.6     70     64     79     36     44     36
 90.4     72     77     73     43     35     38
 92.2     66     76     76     42     44     38
 93.9     61     80     78     40     42     32
 95.8     61     68     72     42     44     35
 97.5     57     69     76     39     41     34
 99.3     47     80     71     49     42     37
101.1     62     73     74     51     35     41
102.8     69     65     79     44     44     34
104.6     53     71     70     54     45     34
106.4     62     66     72     57     56     49
108.1     56     68     86     55     47     61
109.9     56     62     73     62     59     62
111.7     58     67     76     75     62     78
113.4     59     73     82     80     71     72
115.3     56     68     71     75     78     73
117.0     59     69     77     64     64     75
118.8     52     59     84     78     74     71
120.6     51     59     76     72     59     75
122.3     53     69     85     82     71     86
124.1     55     69     92     80     72     75
125.9     49     61     78     72     73     88
127.6     62     75     80     81     71     70
129.4     44     71     76     74     75     71
131.2     60     66     71     70     83     71
133.0     53     72     68     70     68     67
134.8     50     63     82     80     70     66
136.5     51     65     74     81     73     60
138.3     46     60     81     69     60     65
140.1     46     61     73     75     66     69
141.8     46     60     69     71     63     57
143.6     45     58     71     70     57     57
145.4     42     51     71     68     66     62
147.2     46     54     67     71     70     60
148.9     35     59     62     70     58     64
150.7     42     52     73     72     63     69
152.5     45     63     66     65     67     58
154.3     41     59     67     75     75     63
156.0     42     50     72     65     71     71
157.8     40     58     66     69     71     62
159.6     36     50     59     68     69     58
161.4     45     51     68     71     70     63
163.1     34     46     61     74     76     56
164.9     35     47     51     76     67     55
166.7     29     48     59     72     66     54
168.4     38     43     56     69     72     60
170.2     31     49     52     71     64     49
172.0     27     42     63     66     73     55
173.8     33     44     52     66     72     57
175.6     29     44     59     65     69     57
177.3     31     49     52     68     65     61
179.1     34     46     45     62     56     59
180.9     31     39     51     58     62     56
182.6     22     43     54     64     65     49
184.4     40     37     54     54     59     62
186.2     32     43     58     56     71     53
187.9     32     38     47     55     66     63
189.8     32     44     48     54     58     65
191.5     32     36     44     68     59     51
193.3     31     44     48     66     56     61
195.1     41     39     46     61     52     69
196.8     38     41     46     58     66     58
198.6     36     39     51     53     62     61
200.4     47     45     41     65     59     58
202.1     40     41     49     63     53     56
203.9     44     37     40     55     63     53
205.7     39     40     50     54     58     52
207.4     38     43     44     51     56     61
209.3     43     46     34     62     61     49
211.0     49     54     36     49     56     65
212.8     46     56     37     59     66     65
214.6     45     47     37     55     51     58
216.3     55     44     40     48     56     53
218.1     44     49     37     43     55     42
219.9     49     46     35     50     57     51
221.6     47     50     38     46     50     51
223.4     42     58     38     44     53     50
225.2     52     52     39     46     52     52
226.9     58     52     33     48     54     57
228.8     55     59     40     45     47     52
230.5     48     53     34     45     45     51
232.3     50     50     34     44     45     47
234.1     52     55     46     41     51     51
235.8     61     57     47     42     49     48
237.6     59     57     38     40     50     52
239.4     57     50     48     40     47     44
241.1     59     65     60     41     44     43
242.9     60     60     51     42     45     45
244.7     60     65     53     38     50     45
246.5     64     64     55     35     38     43
248.3     68     63     59     38     38     37
250.0     52     65     43     33     41     39
251.8     54     64     58     32     38     37
253.6     59     60     54     29     39     33
255.3     52     72     52     34     39     37
257.1     66     69     62     33     43     35
258.9     66     61     56     35     39     32
260.7     57     67     56     33     42     34
262.4     60     66     64     41     36     30
264.2     65     62     60     40     33     40
266.0     55     52     61     36     36     33
267.8     61     56     67     36     35     37
269.5     54     67     62     40     44     30
271.3     58     64     63     36     36     33
273.1     61     70     70     40     38     34
274.9     66     62     63     39     38     35
276.6     63     67     56     38     38     32
278.4     59     63     51     45     34     30
280.2     55     74     75     44     41     38
281.9     46     74     62     44     34     37
283.7     56     62     69     51     33     38
285.5     67     68     71     41     38     39
287.3     64     59     74     45     34     30
289.1     68     81     68     45     36     32
290.8     55     57     71     46     34     33
292.6     51     59     72     49     33     36
294.4     65     63     74     52     37     36
296.1     59     71     79     46     38     31
297.9     55     58     71     50     39     38
299.7     63     69     73     54     37     40
301.4     46     76     64     55     41     51
